,Value,diff,mean diff
2020-11-28 01:34:00+00:00,0.779,0.0,-0.00010555555555555564
2020-11-28 01:44:00+00:00,0.772,-0.0004666666666666671,-8.205128205128213e-05
2020-11-28 01:54:00+00:00,0.765,-0.0004666666666666671,-7.619047619047625e-05
2020-11-28 02:04:00+00:00,0.77,0.00033333333333333365,-6.222222222222227e-05
2020-11-28 02:14:00+00:00,0.782,0.0008000000000000007,-7.500000000000006e-05
2020-11-28 02:24:00+00:00,0.772,-0.0006666666666666673,-5.8823529411764755e-05
2020-11-28 02:34:00+00:00,0.771,-6.666666666666672e-05,-5.18518518518519e-05
2020-11-28 02:44:00+00:00,0.766,-0.00033333333333333365,-5.614035087719303e-05
2020-11-28 02:54:00+00:00,0.768,0.00013333333333333345,-5.000000000000004e-05
2020-11-28 03:04:00+00:00,0.767,-6.666666666666672e-05,-6.349206349206356e-05
2020-11-28 03:14:00+00:00,0.763,-0.0002666666666666669,-4.848484848484853e-05
2020-11-28 03:24:00+00:00,0.76,-0.00020000000000000017,-5.2173913043478304e-05
2020-11-28 03:34:00+00:00,0.763,0.00020000000000000017,-4.444444444444448e-05
2020-11-28 03:44:00+00:00,0.763,0.0,-6.111111111111116e-05
2020-11-28 03:54:00+00:00,0.765,0.00013333333333333345,-2.77777777777778e-05
2020-11-28 04:04:00+00:00,0.761,-0.0002666666666666669,-1.1111111111111117e-05
2020-11-28 04:14:00+00:00,0.764,0.00020000000000000017,-5.000000000000004e-05
2020-11-28 04:24:00+00:00,0.765,6.666666666666672e-05,-7.500000000000007e-05
2020-11-28 04:34:00+00:00,0.763,-0.00013333333333333345,-3.055555555555558e-05
2020-11-28 04:44:00+00:00,0.764,6.666666666666672e-05,-4.444444444444448e-05
2020-11-28 04:54:00+00:00,0.759,-0.00033333333333333365,-2.77777777777778e-05
2020-11-28 05:04:00+00:00,0.763,0.0002666666666666669,-2.500000000000002e-05
2020-11-28 05:14:00+00:00,0.761,-0.00013333333333333345,-2.500000000000002e-05
2020-11-28 05:24:00+00:00,0.763,0.00013333333333333345,-2.777777777777779e-06
2020-11-28 05:34:00+00:00,0.757,-0.00040000000000000034,-1.38888888888889e-05
2020-11-28 05:44:00+00:00,0.762,0.00033333333333333365,-1.111111111111112e-05
2020-11-28 05:54:00+00:00,0.761,-6.666666666666672e-05,-5.55555555555556e-06
2020-11-28 06:04:00+00:00,0.752,-0.0006000000000000005,-2.77777777777778e-05
2020-11-28 06:14:00+00:00,0.755,0.00020000000000000017,-1.6666666666666678e-05
2020-11-28 06:24:00+00:00,0.761,0.00040000000000000034,-3.888888888888892e-05
2020-11-28 06:34:00+00:00,0.755,-0.00040000000000000034,-2.500000000000002e-05
2020-11-28 06:44:00+00:00,0.756,6.666666666666672e-05,-8.333333333333339e-06
2020-11-28 06:54:00+00:00,0.759,0.00020000000000000017,-8.333333333333339e-06
2020-11-28 07:04:00+00:00,0.758,-6.666666666666672e-05,-8.333333333333339e-06
2020-11-28 07:14:00+00:00,0.762,0.0002666666666666669,-1.111111111111112e-05
2020-11-28 07:24:00+00:00,0.755,-0.0004666666666666671,-3.611111111111114e-05
2020-11-28 07:34:00+00:00,0.759,0.0002666666666666669,-8.333333333333344e-06
2020-11-28 07:44:00+00:00,0.761,0.00013333333333333345,-1.6666666666666684e-05
2020-11-28 08:04:00+00:00,0.755,0.0,-2.5000000000000028e-05
2020-11-28 08:14:00+00:00,0.75,-0.00033333333333333365,-2.777777777777788e-06
2020-11-28 08:54:00+00:00,0.756,-0.00033333333333333365,-1.3888888888888908e-05
2020-11-28 09:04:00+00:00,0.759,0.00020000000000000017,-1.6666666666666688e-05
2020-11-28 09:14:00+00:00,0.748,-0.000733333333333334,-8.333333333333347e-06
2020-11-28 09:24:00+00:00,0.76,0.0008000000000000007,-1.1111111111111127e-05
2020-11-28 09:44:00+00:00,0.762,0.000733333333333334,-1.1111111111111125e-05
2020-11-28 09:54:00+00:00,0.752,-0.0006666666666666673,-1.1111111111111125e-05
2020-11-28 10:04:00+00:00,0.751,-6.666666666666672e-05,-1.3888888888888906e-05
2020-11-28 10:14:00+00:00,0.759,0.0005333333333333338,-5.555555555555566e-06
2020-11-28 10:34:00+00:00,0.758,-0.0005333333333333338,-8.333333333333344e-06
2020-11-28 10:44:00+00:00,0.751,-0.0004666666666666671,-2.2222222222222247e-05
2020-11-28 10:54:00+00:00,0.753,0.00013333333333333345,-3.8888888888888925e-05
2020-11-28 11:04:00+00:00,0.755,0.00013333333333333345,-1.9444444444444466e-05
2020-11-28 11:14:00+00:00,0.758,0.00020000000000000017,-1.9444444444444466e-05
2020-11-28 11:34:00+00:00,0.755,-6.666666666666672e-05,-3.333333333333337e-05
2020-11-28 11:44:00+00:00,0.757,0.00013333333333333345,-1.3888888888888905e-05
2020-11-28 11:54:00+00:00,0.75,-0.0004666666666666671,-3.8888888888888925e-05
2020-11-28 12:04:00+00:00,0.753,0.00020000000000000017,-1.111111111111112e-05
2020-11-28 12:14:00+00:00,0.751,-0.00013333333333333345,-1.6666666666666684e-05
2020-11-28 12:24:00+00:00,0.753,0.00013333333333333345,-2.7777777777777803e-05
2020-11-28 12:34:00+00:00,0.752,-6.666666666666672e-05,-6.94444444444445e-05
2020-11-28 12:44:00+00:00,0.747,-0.00033333333333333365,-5.000000000000004e-05
2020-11-28 12:54:00+00:00,0.749,0.00013333333333333345,-5.833333333333339e-05
2020-11-28 13:04:00+00:00,0.752,0.00020000000000000017,-5.5555555555555606e-05
2020-11-28 13:14:00+00:00,0.753,6.666666666666672e-05,-6.666666666666672e-05
2020-11-28 13:24:00+00:00,0.748,-0.00033333333333333365,-9.72222222222223e-05
2020-11-28 13:34:00+00:00,0.746,-0.00013333333333333345,-9.166666666666675e-05
2020-11-28 13:44:00+00:00,0.748,0.00013333333333333345,-5.833333333333338e-05
2020-11-28 13:54:00+00:00,0.748,0.0,-6.666666666666671e-05
2020-11-28 14:04:00+00:00,0.745,-0.00020000000000000017,-5.833333333333337e-05
2020-11-28 14:14:00+00:00,0.749,0.0002666666666666669,-5.555555555555558e-05
2020-11-28 14:24:00+00:00,0.741,-0.0005333333333333338,-5.000000000000002e-05
2020-11-28 14:34:00+00:00,0.74,-6.666666666666672e-05,-6.388888888888892e-05
2020-11-28 14:44:00+00:00,0.73,-0.0006666666666666673,-5.000000000000002e-05
